Date	Temperature (°C)	Dew Point (°C)	Humidity (%)	Wind Speed (km/h)	Pressure (hPa)	Weather Condition
2025-01-01	9.0	-4.9	78	17.6	1019	Snow
2025-01-02	11.9	6.7	50	21.3	982	Sunny
2025-01-03	26.4	12.5	49	27.3	1043	Thunderstorm
2025-01-04	22.7	14.8	66	11.8	1048	Partly Cloudy
2025-01-05	-0.6	-6.5	41	16.9	1018	Clear
2025-01-06	30.6	22.8	40	29.1	1037	Partly Cloudy
2025-01-07	30.9	-7.1	86	8.0	999	Snow
2025-01-08	34.4	15.7	70	0.8	1031	Partly Cloudy
2025-01-09	4.2	-8.3	39	1.0	1018	Cloudy
2025-01-10	24.9	-6.7	44	7.2	987	Sunny
2025-01-11	28.5	17.4	70	26.9	1000	Snow
2025-01-12	2.5	0.8	35	12.7	1011	Thunderstorm
2025-01-13	34.7	29.9	38	13.2	993	Snow
2025-01-14	28.3	-1.1	35	16.9	1016	Partly Cloudy
2025-01-15	1.3	-5.1	45	1.2	1007	Rainy
2025-01-16	-1.8	-7.7	91	27.6	1003	Cloudy
2025-01-17	11.9	-4.4	36	29.0	1040	Rainy
2025-01-18	17.3	-7.1	62	16.1	1032	Clear
2025-01-19	22.5	3.7	100	29.9	1047	Snow
2025-01-20	-4.9	-8.0	51	24.5	1028	Sunny
2025-01-21	8.2	1.6	72	22.7	999	Cloudy
2025-01-22	-3.0	-10.0	81	16.9	1036	Partly Cloudy
2025-01-23	30.3	5.2	58	11.8	1014	Partly Cloudy
2025-01-24	0.9	-0.2	62	25.0	1040	Partly Cloudy
2025-01-25	10.6	10.5	34	13.5	983	Snow
2025-01-26	18.2	10.8	89	4.7	1012	Sunny
2025-01-27	34.6	-4.6	57	17.6	994	Thunderstorm
2025-01-28	33.7	19.6	68	21.5	1031	Partly Cloudy
2025-01-29	24.9	16.9	95	14.7	1016	Partly Cloudy
2025-01-30	16.1	7.6	59	3.6	1007	Sunny
2025-01-31	9.4	-1.3	99	11.2	1010	Cloudy
2025-02-01	30.3	29.3	40	25.2	1046	Clear
2025-02-02	17.1	8.6	45	26.8	994	Cloudy
2025-02-03	32.8	30.7	76	11.3	1032	Snow
2025-02-04	15.9	1.0	48	28.7	1014	Partly Cloudy
2025-02-05	7.0	5.7	77	27.3	1013	Cloudy
2025-02-06	21.9	15.7	61	15.7	1038	Rainy
2025-02-07	11.6	-8.1	44	19.5	1027	Thunderstorm
2025-02-08	-2.7	-5.1	43	27.7	1014	Sunny
2025-02-09	-0.9	-6.9	92	20.7	1044	Cloudy
2025-02-10	29.2	27.3	52	18.2	1007	Sunny
2025-02-11	22.4	16.6	58	20.8	1046	Rainy
2025-02-12	19.1	18.9	87	11.7	1011	Thunderstorm
2025-02-13	15.2	-9.0	61	15.5	1010	Rainy
2025-02-14	15.8	-4.3	89	25.7	1013	Cloudy
2025-02-15	6.5	-1.9	40	16.8	1021	Clear
2025-02-16	19.9	-0.4	48	12.1	1018	Rainy
2025-02-17	19.1	13.1	38	15.1	1028	Rainy
2025-02-18	25.5	19.4	98	23.0	985	Thunderstorm
2025-02-19	3.3	-2.1	46	19.8	1038	Partly Cloudy
2025-02-20	23.5	-4.7	41	25.6	1048	Rainy
2025-02-21	-0.5	-4.9	83	17.2	997	Cloudy
2025-02-22	5.0	-1.9	65	9.7	992	Snow
2025-02-23	10.6	3.5	49	4.8	1032	Snow
2025-02-24	5.2	1.0	82	15.6	996	Thunderstorm
2025-02-25	-4.8	-7.3	76	2.8	1023	Rainy
2025-02-26	31.7	29.6	35	7.6	1008	Thunderstorm
2025-02-27	6.4	3.5	100	26.7	994	Cloudy
2025-02-28	7.3	-6.5	92	30.0	1043	Partly Cloudy
2025-03-01	34.1	33.7	48	9.1	1003	Rainy
2025-03-02	24.0	-5.1	34	18.5	1012	Thunderstorm
2025-03-03	13.9	-5.0	63	12.3	1044	Clear
2025-03-04	2.2	-5.7	100	20.8	1001	Sunny
2025-03-05	-1.8	-1.9	51	29.6	1004	Sunny
2025-03-06	32.2	17.1	83	8.9	1049	Partly Cloudy
2025-03-07	9.6	-6.8	46	9.4	1031	Clear
2025-03-08	0.1	-8.6	64	2.0	1005	Clear
2025-03-09	25.3	5.0	88	15.6	989	Cloudy
2025-03-10	-3.2	-6.5	88	9.5	1011	Snow
2025-03-11	-1.6	-7.7	74	29.2	1039	Sunny
2025-03-12	3.1	-8.1	88	26.2	1035	Cloudy
2025-03-13	8.7	7.2	40	16.0	1037	Cloudy
2025-03-14	4.0	-3.1	43	14.0	1023	Sunny
2025-03-15	32.0	3.6	83	22.3	1042	Thunderstorm
2025-03-16	7.1	-6.9	55	18.6	1034	Thunderstorm
2025-03-17	25.3	21.7	72	5.4	1034	Thunderstorm
2025-03-18	19.6	16.3	66	12.8	982	Snow
2025-03-19	27.7	-3.3	91	22.3	994	Thunderstorm
2025-03-20	17.7	13.4	62	28.9	1011	Cloudy
2025-03-21	7.1	-4.3	96	23.7	1027	Cloudy
2025-03-22	26.2	-2.4	35	19.9	990	Sunny
2025-03-23	31.8	12.2	55	17.8	1014	Clear
2025-03-24	21.0	-5.7	54	15.1	1007	Partly Cloudy
2025-03-25	28.9	6.9	82	2.9	1003	Sunny
2025-03-26	2.8	-6.8	46	10.3	982	Partly Cloudy
2025-03-27	10.2	-1.6	37	6.7	1049	Partly Cloudy
2025-03-28	3.6	0.7	100	8.6	1042	Thunderstorm
2025-03-29	12.7	6.0	90	22.0	982	Thunderstorm
2025-03-30	7.3	7.1	46	10.6	1026	Rainy
2025-03-31	14.8	10.6	72	21.3	1026	Partly Cloudy
2025-04-01	23.4	9.4	66	26.1	1014	Snow
2025-04-02	11.9	-8.9	82	27.0	982	Clear
2025-04-03	0.8	-0.1	79	25.3	1030	Clear
2025-04-04	27.6	6.4	69	4.2	991	Sunny
2025-04-05	10.9	3.2	64	9.9	996	Partly Cloudy
2025-04-06	5.4	-1.4	39	27.5	1036	Cloudy
2025-04-07	2.8	-0.6	35	26.4	1036	Clear
2025-04-08	20.7	6.1	47	14.2	988	Sunny
2025-04-09	9.1	-0.6	55	29.8	1024	Clear
2025-04-10	24.1	5.7	95	29.5	1024	Cloudy
